"id","class","role","year","title","locator","used_for","transfer_to_br","limitation","verified_on"
"PEER-020","PEER","base científica","1992","Global Portfolio Optimization","https://doi.org/10.2469/faj.v48.n5.28","combinar equilíbrio e visões com incerteza","estimador opcional de retornos esperados","inputs continuam frágeis e subjetivos","2026-08-08"
"PEER-021","PEER","alerta metodológico","1989","The Markowitz Optimization Enigma: Is Optimized Optimal?","https://doi.org/10.2469/faj.v45.n1.31","instabilidade de otimização média-variância","justificar shrinkage robustez e testes fora da amostra","crítica não seleciona sozinha um método substituto","2026-08-08"
"PEER-022","PEER","alerta metodológico","2009","Optimal Versus Naive Diversification: How Inefficient Is the 1/N Portfolio Strategy?","https://doi.org/10.1093/rfs/hhm075","comparação fora da amostra contra 1/N","baseline obrigatório para otimizadores","universos e períodos estudados podem divergir do Brasil","2026-08-08"
"PEER-023","PEER","hipótese de fronteira","2018","Data-driven Distributionally Robust Optimization Using the Wasserstein Metric","https://doi.org/10.1007/s10107-017-1172-1","robustez a erro de distribuição","módulo experimental de otimização","raio de ambiguidade e custo computacional exigem validação","2026-08-08"
"PEER-024","PEER","base científica","2018","The Econ-ARK and HARK: Open Source Tools for Computational Economics","https://doi.org/10.25080/Majora-4af1f417-004","modelos computacionais de consumo e agentes heterogêneos","challenger de pesquisa para dinâmica de consumo","não é SDK de planejamento brasileiro nem verdade de referência","2026-08-08"
"OSS-001","OSS","adaptador","2026","brasa","https://github.com/wilsonfreitas/brasa","ingestão reprodutível de B3 ANBIMA Tesouro e CVM","padrão raw-parquet-metadados e CLI de dados","fragilidade e licença de cada fonte permanecem separadas do MIT do código","2026-08-08"
"OSS-002","OSS","adaptador","2026","python-bcb","https://github.com/wilsonfreitas/python-bcb","SGS PTAX e OData do BCB com interfaces síncronas e assíncronas","conector opcional preferível a duplicar clientes","métodos variam por módulo; currency documenta web scraping; APIs e esquemas externos podem mudar","2026-08-08"
"OSS-003","OSS","dependência candidata","2026","python-bizdays","https://github.com/wilsonfreitas/python-bizdays","calendários de dias úteis e convenção business/252","calendário brasileiro com snapshots versionados","calendário não elimina necessidade de fonte e vigência explícitas","2026-08-08"
"OSS-004","OSS","benchmark","2026","python-fixedincome","https://github.com/wilsonfreitas/python-fixedincome","taxas capitalização contagem de dias e calendários","teste diferencial e possível extra opcional","projeto alpha com metadados de pacote ainda prototípicos","2026-08-08"
"OSS-005","OSS","benchmark","2026","R-fixedincome","https://github.com/wilsonfreitas/R-fixedincome","curvas taxas forward e convenções brasileiras","comparador diferencial independente","runtime R e superfície diferente do futuro núcleo Python","2026-08-08"
"OSS-006","OSS","inspiração histórica","2014","salim","https://github.com/wilsonfreitas/salim","OFX orçamento e fluxo de caixa pessoal","arqueologia de domínio","sem licença detectada e stack obsoleta; não reutilizar código","2026-08-08"
"OSS-007","OSS","benchmark","2026","HARK","https://github.com/econ-ark/HARK","programação dinâmica consumo poupança mortalidade e renda","challenger e comparador de pesquisa para casos de ciclo de vida","documentação o classifica como beta e reconhece maturidade desigual; validar antes de depender","2026-08-08"
"OSS-008","OSS","dependência opcional","2026","skfolio","https://github.com/skfolio/skfolio","otimização de portfólio validação cruzada e risco robusto","backend experimental de portfólio","não contém ciclo de vida tributos metas ou aconselhamento completo","2026-08-08"
"OSS-009","OSS","benchmark","2026","PyPortfolioOpt","https://github.com/PyPortfolio/PyPortfolioOpt","MVO Black-Litterman HRP CVaR e shrinkage","baseline e teste diferencial","não é motor de planejamento financeiro","2026-08-08"
"OSS-010","OSS","benchmark","2026","Riskfolio-Lib","https://github.com/dcajasn/Riskfolio-Lib","múltiplas medidas convexas de risco","benchmark de otimização","superfície extensa aumenta custo de validação e não cobre planejamento","2026-08-08"
"OSS-011","OSS","inspiração com restrição","2026","cvxportfolio","https://github.com/cvxgrp/cvxportfolio","otimização multiperíodo custos e horizonte móvel","arquitetura e comparação pelo paper","GPL-3.0 é incompatível com dependência distribuída em núcleo permissivo sem decisão jurídica","2026-08-08"
"OSS-012","OSS","dependência opcional","2026","QuantLib","https://github.com/lballabio/QuantLib","precificação curvas instrumentos e risco","integração avançada ou comparador diferencial","grande superfície e não resolve ciclo de vida familiar","2026-08-08"
"OSS-013","OSS","inspiração com restrição","2026","OpenFisca Core","https://github.com/openfisca/openfisca-core","regras legislativas datadas e explicáveis","padrão para pacotes de política por vigência","AGPL-3.0 e ausência de pacote Brasil pronto para este escopo","2026-08-08"
"OSS-014","OSS","inspiração com restrição","2026","PolicyEngine Core","https://github.com/PolicyEngine/policyengine-core","microssimulação tributária e de benefícios","padrão de parametrização e explicação","AGPL-3.0 e modelos de outros países não transferem automaticamente","2026-08-08"
"OSS-015","OSS","inspiração de produto","2026","Wealthfolio","https://github.com/wealthfolio/wealthfolio","experiência local-first e acompanhamento patrimonial","padrões de privacidade e UX","AGPL-3.0 e foco em aplicativo não em validade científica","2026-08-08"
"GOV-002","GOV","autoridade de dados","2026","Expectativas de Mercado","https://dadosabertos.bcb.gov.br/dataset/expectativas-mercado","cenários macro observados e distribuição de expectativas","adaptador BCB com snapshot e revisão","expectativa de mercado não é distribuição verdadeira nem recomendação","2026-08-08"
"GOV-003","GOV","autoridade de dados","2026","Taxas dos Títulos Ofertados pelo Tesouro Direto","https://www.tesourotransparente.gov.br/ckan/dataset/taxas-dos-titulos-ofertados-pelo-tesouro-direto","preços e taxas históricos de títulos públicos","curvas e testes de instrumentos locais","dado diário sujeito a revisão e licença ODbL","2026-08-08"
"GOV-004","GOV","autoridade de dados","2026","Fundos de Investimento: Informe Diário","https://dados.cvm.gov.br/dataset/fi-doc-inf_diario","cotas patrimônio captação e resgate","catálogo e séries com proveniência","atrasos reapresentações e licença ODbL devem acompanhar os snapshots","2026-08-08"
"GOV-005","GOV","autoridade demográfica","2024","Tábuas Completas de Mortalidade","https://www.ibge.gov.br/estatisticas/sociais/populacao/9126-tabuas-completas-de-mortalidade.html","sobrevivência por idade e sexo","baseline brasileiro de mortalidade","tábua de período nacional não captura heterogeneidade individual nem garante risco futuro","2026-08-08"
"GOV-006","GOV","autoridade demográfica","2024","Projeções da População revisão 2024","https://www.ibge.gov.br/estatisticas/sociais/populacao/9109-projecao-da-populacao.html","melhora de mortalidade e estrutura populacional","cenários de coorte e longevidade","revisões periódicas exigem versionamento do snapshot","2026-08-08"
"GOV-007","GOV","autoridade previdenciária","2026","Regras de aposentadoria em 2026","https://www.gov.br/inss/pt-br/noticias/noticias/regras-de-transicao-mudam-os-requisitos-para-aposentadoria-em-2026","regras de transição do RGPS e limite da simulação oficial","pacote INSS datado e teste contra exemplos oficiais","notícia resume regras; implementação exige norma e histórico contributivo completos","2026-08-08"
"GOV-008","GOV","autoridade de integração","2026","Open Insurance","https://www.gov.br/susep/pt-br/assuntos/open-insurance/","consentimento e escopo de seguros e previdência aberta","conector separado e opt-in","dados pessoais requerem participante autorizado ou credenciado e consentimento válido","2026-08-08"
"GOV-009","GOV","autoridade de integração","2026","Manual de Escopo de Dados e Serviços do Open Insurance v7.2","https://www.gov.br/susep/pt-br/assuntos/open-insurance/documentos_de_referencia","esquemas e serviços de previdência seguro e capitalização","geração de cliente a partir da versão oficial","manual muda independentemente do núcleo","2026-08-08"
"GOV-010","GOV","autoridade de integração","2026","Resolução Conjunta 1/2020 consolidada versão 8","https://normativos.bcb.gov.br/Lists/Normativos/Attachments/51028/Res_Conj_0001_v8_P.pdf","âmbito participantes consentimento autenticação e confirmação","integração opcional por provedor autorizado","SDK local não ganha participação credencial ou direito a dados pessoais por ser open source","2026-08-08"
"GOV-011","GOV","autoridade tributária","2026","Tributação de 2026","https://www.gov.br/receitafederal/pt-br/assuntos/meu-imposto-de-renda/tabelas/2026","tabelas IRPF e rendimentos de capital","pacote tributário por ano e vigência","página pode ser atualizada e não cobre todos os casos individuais","2026-08-08"
"GOV-012","GOV","autoridade tributária","2024","Como declarar PGBL e VGBL","https://www.gov.br/receitafederal/pt-br/acesso-a-informacao/perguntas-frequentes/imposto-de-renda/dirpf/declaracao/pgvl-vgbl","base tributável e tratamento declaratório geral","testes e explicações de previdência aberta","perguntas frequentes não substituem lei nem aconselhamento tributário","2026-08-08"
"LAW-001","LAW","autoridade regulatória","2021","Resolução CVM 19 texto consolidado","https://conteudo.cvm.gov.br/export/sites/cvm/legislacao/resolucoes/anexos/001/resol019consolid.pdf","fronteira de consultoria de valores mobiliários e algoritmos automatizados","classificar implantação e exigir revisão jurídica para produto","editada em 2021 e consolidada com alterações posteriores; interpretação depende de fatos e modelo operacional","2026-08-08"
"LAW-002","LAW","autoridade regulatória","2021","Resolução CVM 30 texto consolidado","https://conteudo.cvm.gov.br/export/sites/cvm/legislacao/resolucoes/anexos/001/resol030consolid.pdf","dever de adequação ao perfil do cliente","requisito para eventual camada regulada de recomendação","editada em 2021 e consolidada com alterações posteriores; aplicabilidade depende de participante atividade e produto","2026-08-08"
"LAW-003","LAW","autoridade de privacidade","2018","Lei 13.709 Lei Geral de Proteção de Dados Pessoais","https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/l13709compilado.htm","princípios e obrigações de tratamento de dados pessoais","privacidade local-first minimização e governança","base legal e papel de controlador devem ser avaliados por implantação","2026-08-08"
"LAW-004","LAW","autoridade tributária","2024","Lei 14.803","https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2024/lei/l14803.htm","momento de escolha do regime tributário em previdência complementar","versionar regras e datas de opção","implementação exige normas complementares e dados do contrato","2026-08-08"
"LAW-005","LAW","autoridade tributária","2004","Lei 11.053","https://www.planalto.gov.br/ccivil_03/_ato2004-2006/2004/lei/l11053.htm","regime de tributação de planos previdenciários","motor de lotes por prazo de acumulação","texto deve ser lido com alterações posteriores","2026-08-08"
"LIC-001","LICENSE","alerta de licença","2026","Termos e políticas de market data B3","https://www.b3.com.br/pt_br/termos-de-uso-e-protecao-de-dados/","restrições de uso distribuição armazenamento e criação de derivados","impedir redistribuição automática no projeto","página genérica não substitui política e contrato específicos do produto","2026-08-08"
"LIC-002","LICENSE","alerta de licença","2026","Sistema REUNE ANBIMA","https://www.anbima.com.br/informacoes/reune/reune_result.asp","restrição de distribuição e uso comercial dos dados exibidos","classificar conector como licenciado e não empacotar dados","página não substitui contrato específico de outros produtos ANBIMA","2026-08-08"
"IND-001","INDUSTRY_PRIMARY","fonte de calendário","2026","Feriados Bancários ANBIMA","https://www.anbima.com.br/feriados/","calendário de sensibilização de reservas bancárias","snapshot testado para convenção business/252","fonte setorial não governamental; não inclui todo feriado municipal e pode mudar","2026-08-08"
"GOV-016","GOV","autoridade setorial","2026","Painel da Previdência Complementar: metadados","https://www.gov.br/previdencia/pt-br/assuntos/estatisticas-da-previdencia/painel-estatistico-da-previdencia/arquivos/metadados-painel-previdencia-complementar.pdf","origem e definição de dados PREVIC e SUSEP","catálogo de planos e estatísticas agregadas","agregados não substituem dados contratuais individuais","2026-08-08"
"STD-001","STD","governança de API","2024","Semantic Versioning 2.0.0","https://semver.org/","versionamento de interface pública","separar versão de API de modelo política e dados","SemVer não resolve mudanças semânticas científicas","2026-08-08"
"STD-002","STD","governança de cadeia de suprimentos","2026","SLSA specification","https://slsa.dev/spec/","proveniência de build e releases","assinatura e atestação de artefatos","maturidade exige infraestrutura de release ainda inexistente","2026-08-08"
"STD-003","STD","governança de vulnerabilidades","2026","OpenSSF Scorecard","https://securityscorecards.dev/","controles automáticos de segurança open source","gate progressivo de manutenção","pontuação não substitui revisão de código ou modelo","2026-08-08"
